Index;Name;Houses
13001;      Kreisfreie Stadt Greifswald, Hansestadt;30917
13002;      Kreisfreie Stadt Neubrandenburg, Stadt;34016
13003;      Kreisfreie Stadt Rostock, Hansestadt;108426
13004;      Kreisfreie Stadt Schwerin, Landeshauptstadt;55426
13005;      Kreisfreie Stadt Stralsund, Hansestadt;33849
13006;      Kreisfreie Stadt Wismar, Hansestadt;26485
13051;      Landkreis Bad Doberan;57985
13052;      Landkreis Demmin;41227
13053;      Landkreis GŸstrow;50749
13054;      Landkreis Ludwigslust;59613
13055;      Landkreis Mecklenburg-Strelitz;41479
13056;      Landkreis MŸritz;34492
13057;      Landkreis Nordvorpommern;56612
13058;      Landkreis Nordwestmecklenburg;56157
13059;      Landkreis Ostvorpommern;57696
13060;      Landkreis Parchim;47320
13061;      Landkreis RŸgen;40605
13062;      Landkreis Uecker-Randow;38080
13071;      Landkreis Mecklenburgische Seenplatte;-
13072;      Landkreis Rostock;-
13073;      Landkreis Vorpommern-RŸgen;-
13074;      Landkreis Nordwestmecklenburg;-
13075;      Landkreis Vorpommern-Greifswald;-
13076;      Landkreis Ludwigslust-Parchim;-
14;  Sachsen;2292293
141;    Chemnitz, Regierungsbezirk;-
14161;      Chemnitz, Kreisfreie Stadt;-
14166;      Plauen, Kreisfreie Stadt;-
14167;      Zwickau, Kreisfreie Stadt;-
14171;      Annaberg, Landkreis;-
14173;      Chemnitzer Land, Landkreis;-
14177;      Freiberg, Landkreis;-
14178;      Vogtlandkreis;-
14181;      Mittlerer Erzgebirgskreis;-
14182;      Mittweida, Landkreis;-
14188;      Stollberg, Landkreis;-
14191;      Aue-Schwarzenberg, Landkreis;-
14193;      Zwickauer Land, Landkreis;-
142;    Dresden, Regierungsbezirk;-
14262;      Dresden, Kreisfreie Stadt;-
14263;      Gšrlitz, Kreisfreie Stadt;-
14264;      Hoyerswerda, Kreisfreie Stadt;-
14272;      Bautzen, Landkreis;-
14280;      Mei§en, Landkreis;-
14284;      Niederschlesischer Oberlausitzkreis;-
14285;      Riesa-Gro§enhain, Landkreis;-
14286;      Lšbau-Zittau, Landkreis;-
14287;      SŠchsische Schweiz, Landkreis;-
14290;      Wei§eritzkreis;-
14292;      Kamenz, Landkreis;-
143;    Leipzig, Regierungsbezirk;-
14365;      Leipzig, Kreisfreie Stadt;-
14374;      Delitzsch, Landkreis;-
14375;      Dšbeln, Landkreis;-
14379;      Leipziger Land, Landkreis;-
14383;      Muldentalkreis;-
14389;      Torgau-Oschatz, Landkreis;-
145;    Chemnitz, NUTS 2-Region;855777
14511;      Chemnitz, Stadt;145676
14521;      Erzgebirgskreis;196604
14522;      Mittelsachsen, Landkreis;177033
14523;      Vogtlandkreis;142703
14524;      Zwickau, Landkreis;193762
146;    Dresden, NUTS 2-Region;864245
14612;      Dresden, Stadt;279476
14625;      Bautzen, Landkreis;158658
14626;      Gšrlitz, Landkreis;157129
14627;      Mei§en, Landkreis;134974
14628;      SŠchsische Schweiz-Osterzgebirge, Landkreis;134010
147;    Leipzig, NUTS 2-Region;572272
14713;      Leipzig, Stadt;322938
14729;      Leipzig, Landkreis;141308
14730;      Nordsachsen, Landkreis;108027
15;  Sachsen-Anhalt;1263029
15001;      Dessau-Ro§lau, Kreisfreie Stadt;52262
15002;      Halle (Saale), Kreisfreie Stadt;133019
15003;      Magdeburg, Kreisfreie Stadt;129672
15081;      Altmarkkreis Salzwedel;44731
15082;      Anhalt-Bitterfeld, Landkreis;95731
15083;      Bšrde, Landkreis;89955
15084;      Burgenlandkreis;107308
