Index;Name;Construction
15001;      Dessau-Ro§lau, Kreisfreie Stadt;51
15002;      Halle (Saale), Kreisfreie Stadt;120
15003;      Magdeburg, Kreisfreie Stadt;377
15081;      Altmarkkreis Salzwedel;150
15082;      Anhalt-Bitterfeld, Landkreis;174
15083;      Bšrde, Landkreis;252
15084;      Burgenlandkreis;108
15085;      Harz, Landkreis;291
15086;      Jerichower Land, Landkreis;148
15087;      Mansfeld-SŸdharz, Landkreis;78
15088;      Saalekreis;197
15089;      Salzlandkreis;129
15090;      Stendal, Landkreis;121
15091;      Wittenberg, Landkreis;114
151;    Dessau, Stat. Region;-
15101;      Dessau, Kreisfreie Stadt;-
15151;      Anhalt-Zerbst, Kreis;-
15153;      Bernburg, Kreis;-
15154;      Bitterfeld, Kreis;-
15159;      Kšthen, Kreis;-
15171;      Wittenberg, Kreis;-
152;    Halle, Stat. Region;-
15202;      Halle (Saale), Kreisfreie Stadt;-
15256;      Burgenlandkreis;-
15260;      Mansfelder Land, Kreis;-
15261;      Merseburg-Querfurt, Kreis;-
15265;      Saalkreis;-
15266;      Sangerhausen, Kreis;-
15268;      Wei§enfels, Kreis;-
153;    Magdeburg, Stat. Region;-
15303;      Magdeburg, Kreisfreie Stadt;-
15352;      Aschersleben-Sta§furt, Kreis;-
15355;      Bšrdekreis;-
15357;      Halberstadt, Kreis;-
15358;      Jerichower Land, Kreis;-
15362;      Ohrekreis;-
15363;      Stendal, Kreis;-
15364;      Quedlinburg, Kreis;-
15367;      Schšnebeck, Kreis;-
15369;      Wernigerode, Kreis;-
15370;      Altmarkkreis Salzwedel, Kreis;-
16;  ThŸringen;2908
16051;      Erfurt, krsfr. Stadt;342
16052;      Gera, krsfr. Stadt;83
16053;      Jena, krsfr. Stadt;356
16054;      Suhl, krsfr. Stadt;39
16055;      Weimar, krsfr. Stadt;42
16056;      Eisenach, krsfr. Stadt;44
16061;      Eichsfeld, Kreis;176
16062;      Nordhausen, Kreis;54
16063;      Wartburgkreis;171
16064;      Unstrut-Hainich-Kreis;210
16065;      KyffhŠuserkreis;94
16066;      Schmalkalden-Meiningen, Kreis;127
16067;      Gotha, Kreis;133
16068;      Sšmmerda, Kreis;76
16069;      Hildburghausen, Kreis;73
16070;      Ilm-Kreis;227
16071;      Weimarer Land, Kreis;141
16072;      Sonneberg, Kreis;30
16073;      Saalfeld-Rudolstadt, Kreis;186
16074;      Saale-Holzland-Kreis;99
16075;      Saale-Orla-Kreis;55
16076;      Greiz, Kreis;97
16077;      Altenburger Land, Kreis;53
