Index,Name,Construction_ConstructionOfHouses,Houses_NumberOfHouses
14365,"Leipzig, Kreisfreie Stadt",-,-
14374,"Delitzsch, Landkreis",-,-
14375,"Dšbeln, Landkreis",-,-
14379,"Leipziger Land, Landkreis",-,-
14383,Muldentalkreis,-,-
14389,"Torgau-Oschatz, Landkreis",-,-
145,"Chemnitz, NUTS 2-Region",1747,855777
14511,"Chemnitz, Stadt",410,145676
14521,Erzgebirgskreis,516,196604
14522,"Mittelsachsen, Landkreis",272,177033
14523,Vogtlandkreis,290,142703
14524,"Zwickau, Landkreis",259,193762
146,"Dresden, NUTS 2-Region",2721,864245
14612,"Dresden, Stadt",1298,279476
14625,"Bautzen, Landkreis",345,158658
14626,"Gšrlitz, Landkreis",149,157129
14627,"Mei§en, Landkreis",518,134974
14628,"SŠchsische Schweiz-Osterzgebirge, Landkreis",411,134010
147,"Leipzig, NUTS 2-Region",1653,572272
14713,"Leipzig, Stadt",783,322938
14729,"Leipzig, Landkreis",564,141308
14730,"Nordsachsen, Landkreis",306,108027
15,Sachsen-Anhalt,2310,1263029
15001,"Dessau-Ro§lau, Kreisfreie Stadt",51,52262
15002,"Halle (Saale), Kreisfreie Stadt",120,133019
15003,"Magdeburg, Kreisfreie Stadt",377,129672
15081,Altmarkkreis Salzwedel,150,44731
15082,"Anhalt-Bitterfeld, Landkreis",174,95731
15083,"Bšrde, Landkreis",252,89955
15084,Burgenlandkreis,108,107308
15085,"Harz, Landkreis",291,128853
15086,"Jerichower Land, Landkreis",148,50230
15087,"Mansfeld-SŸdharz, Landkreis",78,78812
15088,Saalekreis,197,99785
15089,Salzlandkreis,129,116596
15090,"Stendal, Landkreis",121,64590
15091,"Wittenberg, Landkreis",114,71489
151,"Dessau, Stat. Region",-,-
15101,"Dessau, Kreisfreie Stadt",-,-
15151,"Anhalt-Zerbst, Kreis",-,-
15153,"Bernburg, Kreis",-,-
15154,"Bitterfeld, Kreis",-,-
15159,"Kšthen, Kreis",-,-
15171,"Wittenberg, Kreis",-,-
152,"Halle, Stat. Region",-,-
15202,"Halle (Saale), Kreisfreie Stadt",-,-
15256,Burgenlandkreis,-,-
15260,"Mansfelder Land, Kreis",-,-
15261,"Merseburg-Querfurt, Kreis",-,-
15265,Saalkreis,-,-
15266,"Sangerhausen, Kreis",-,-
15268,"Wei§enfels, Kreis",-,-
153,"Magdeburg, Stat. Region",-,-
15303,"Magdeburg, Kreisfreie Stadt",-,-
15352,"Aschersleben-Sta§furt, Kreis",-,-
15355,Bšrdekreis,-,-
15357,"Halberstadt, Kreis",-,-
15358,"Jerichower Land, Kreis",-,-
15362,Ohrekreis,-,-
15363,"Stendal, Kreis",-,-
15364,"Quedlinburg, Kreis",-,-
15367,"Schšnebeck, Kreis",-,-
15369,"Wernigerode, Kreis",-,-
15370,"Altmarkkreis Salzwedel, Kreis",-,-
16,ThŸringen,2908,1137478
16051,"Erfurt, krsfr. Stadt",342,103989
16052,"Gera, krsfr. Stadt",83,58262
16053,"Jena, krsfr. Stadt",356,52739
16054,"Suhl, krsfr. Stadt",39,19905
16055,"Weimar, krsfr. Stadt",42,34064
16056,"Eisenach, krsfr. Stadt",44,24300
16061,"Eichsfeld, Kreis",176,45667
16062,"Nordhausen, Kreis",54,45086
16063,Wartburgkreis,171,62021
16064,Unstrut-Hainich-Kreis,210,53286
16065,KyffhŠuserkreis,94,41477
16066,"Schmalkalden-Meiningen, Kreis",127,64161
16067,"Gotha, Kreis",133,71113
16068,"Sšmmerda, Kreis",76,34190
16069,"Hildburghausen, Kreis",73,31485
16070,Ilm-Kreis,227,59714
16071,"Weimarer Land, Kreis",141,41634
16072,"Sonneberg, Kreis",30,31460
16073,"Saalfeld-Rudolstadt, Kreis",186,60174
16074,Saale-Holzland-Kreis,99,43212
16075,Saale-Orla-Kreis,55,44727
16076,"Greiz, Kreis",97,58071
16077,"Altenburger Land, Kreis",53,56746
